time=2024-09-13T14:51:58.373+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:51:58.374+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:52:08.384+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:52:08.384+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:52:08.385+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:52:18.395+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:52:18.395+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:52:18.396+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:52:28.406+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:52:28.406+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:52:28.407+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:52:38.416+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:52:38.417+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:52:38.417+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:52:48.419+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:52:48.420+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:52:48.420+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:52:58.422+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:52:58.422+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:52:58.423+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:53:08.432+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:53:08.433+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:53:08.433+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:53:18.443+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:53:18.443+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:53:18.444+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:53:28.453+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:53:28.454+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:53:28.454+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:53:38.464+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:53:38.464+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:53:38.465+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:53:48.475+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:53:48.481+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:53:48.482+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:53:58.492+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:53:58.492+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:53:58.493+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:54:08.502+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:54:08.502+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:54:08.503+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:54:18.512+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:54:18.513+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:54:18.513+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:54:28.523+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:54:28.523+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:54:28.524+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:54:38.533+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:54:38.533+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:54:38.533+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:54:48.535+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:54:48.536+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:54:48.537+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:54:58.538+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:54:58.539+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:54:58.539+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:55:08.548+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:55:08.548+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:55:08.549+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:55:18.558+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:55:18.559+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:55:18.559+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:55:28.568+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:55:28.568+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:55:28.568+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:55:38.577+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:55:38.577+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:55:38.578+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:55:48.587+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:55:48.588+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:55:48.589+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:55:58.599+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:55:58.599+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:55:58.600+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:56:08.609+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:56:08.609+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:56:08.611+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:56:18.621+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:56:18.622+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:56:18.623+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:56:28.632+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:56:28.632+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:56:28.633+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:56:38.642+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:56:38.642+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:56:38.643+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:56:48.644+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:56:48.645+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:56:48.646+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:56:58.647+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
